epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.078,1.70875,1.56567,1.09428,0.46756,0.30988,0.30312,0.17396,1.71104,1.36659,1.03246,0.00332326,0.00332326,0.00332326
2,523.929,1.49457,0.93256,0.99044,0.50062,0.34475,0.34622,0.19376,1.74383,1.36593,1.04024,0.00662365,0.00662365,0.00662365
3,779.933,1.48836,0.8948,0.98648,0.51203,0.34002,0.36248,0.19822,1.76725,1.48969,1.06168,0.00989103,0.00989103,0.00989103
4,1033.44,1.48789,0.85913,0.98649,0.43344,0.34008,0.35516,0.19748,1.76784,1.60058,1.0668,0.0098515,0.0098515,0.0098515
5,1287.95,1.43866,0.81155,0.97786,0.6104,0.33837,0.3751,0.20528,1.8095,1.44224,1.0896,0.009802,0.009802,0.009802
6,1543.13,1.40578,0.78197,0.96641,0.52245,0.36316,0.39044,0.21448,1.78983,1.32696,1.05581,0.0097525,0.0097525,0.0097525
7,1799.37,1.36977,0.74917,0.9593,0.4348,0.38704,0.37719,0.20446,1.75513,1.36398,1.05593,0.009703,0.009703,0.009703
8,2054,1.33713,0.72335,0.95089,0.53798,0.37146,0.39679,0.22135,1.81168,1.41335,1.07242,0.0096535,0.0096535,0.0096535
9,2311.15,1.32463,0.71289,0.94677,0.61832,0.35271,0.38045,0.20614,1.7345,1.34321,1.04803,0.009604,0.009604,0.009604
10,2565.87,1.3028,0.69413,0.94289,0.56407,0.35135,0.39714,0.21623,1.73266,1.44353,1.05752,0.0095545,0.0095545,0.0095545
11,2820.65,1.28871,0.68557,0.94042,0.6473,0.34747,0.40155,0.21457,1.73804,1.35001,1.06527,0.009505,0.009505,0.009505
12,3079.3,1.27422,0.6743,0.93563,0.67873,0.36678,0.41692,0.22934,1.74481,1.39771,1.06256,0.0094555,0.0094555,0.0094555
13,3335.42,1.25847,0.66181,0.93072,0.51714,0.40303,0.39769,0.22285,1.77598,1.33624,1.06692,0.009406,0.009406,0.009406
14,3592.56,1.25453,0.65502,0.92915,0.5339,0.38554,0.39243,0.21208,1.76367,1.31222,1.06456,0.0093565,0.0093565,0.0093565
15,3849.02,1.24628,0.64778,0.92839,0.5233,0.36972,0.39631,0.22546,1.71805,1.37959,1.03763,0.009307,0.009307,0.009307
16,4105.93,1.23349,0.64031,0.92383,0.55192,0.38828,0.41528,0.22018,1.7376,1.4128,1.03802,0.0092575,0.0092575,0.0092575
17,4360.07,1.22301,0.63195,0.92333,0.61338,0.37823,0.41769,0.23542,1.76875,1.32544,1.07146,0.009208,0.009208,0.009208
18,4617.83,1.21646,0.62547,0.92146,0.66006,0.39461,0.43549,0.23964,1.73886,1.2078,1.06134,0.0091585,0.0091585,0.0091585
19,4875.33,1.20434,0.6194,0.91811,0.63648,0.38011,0.42031,0.22614,1.77181,1.36046,1.06295,0.009109,0.009109,0.009109
20,5131.96,1.19576,0.61308,0.91523,0.63265,0.37328,0.42068,0.23871,1.73184,1.2818,1.05917,0.0090595,0.0090595,0.0090595
21,5389.04,1.19567,0.61126,0.91864,0.47438,0.38694,0.40623,0.22982,1.754,1.32036,1.06235,0.00901,0.00901,0.00901
22,5640.98,1.18963,0.60842,0.91373,0.65898,0.34758,0.40351,0.22905,1.76144,1.45534,1.06877,0.0089605,0.0089605,0.0089605
23,5896.76,1.17683,0.60086,0.91389,0.6047,0.36505,0.41447,0.23853,1.74397,1.32004,1.08177,0.008911,0.008911,0.008911
24,6155.46,1.17491,0.59714,0.91105,0.62913,0.37273,0.40916,0.22754,1.7618,1.36524,1.07958,0.0088615,0.0088615,0.0088615
25,6413.03,1.18002,0.59473,0.91199,0.58674,0.37108,0.42189,0.23328,1.72289,1.36051,1.06059,0.008812,0.008812,0.008812
26,6668.08,1.15659,0.58622,0.9092,0.52059,0.38538,0.42033,0.23812,1.81111,1.36393,1.08076,0.0087625,0.0087625,0.0087625
27,6925.62,1.15516,0.5857,0.90728,0.62636,0.38691,0.42798,0.23933,1.70428,1.31121,1.04288,0.008713,0.008713,0.008713
28,7182.01,1.15065,0.58028,0.90551,0.60265,0.39169,0.4364,0.2426,1.69522,1.3121,1.0353,0.0086635,0.0086635,0.0086635
