epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7439.41,1.14614,0.57821,0.90569,0.53835,0.34998,0.39788,0.22423,1.70723,1.37316,1.05825,0.008614,0.008614,0.008614
30,7693.2,1.15203,0.58112,0.90659,0.59655,0.37642,0.40395,0.22469,1.78362,1.31841,1.07474,0.0085645,0.0085645,0.0085645
31,7945.42,1.13937,0.57186,0.90446,0.58775,0.39288,0.42143,0.22738,1.71138,1.32768,1.05476,0.008515,0.008515,0.008515
32,8201.9,1.13882,0.5711,0.9035,0.52711,0.36851,0.3921,0.22168,1.80709,1.33404,1.07914,0.0084655,0.0084655,0.0084655
33,8453.87,1.13494,0.56921,0.90211,0.68084,0.38239,0.43375,0.25,1.6936,1.27293,1.04083,0.008416,0.008416,0.008416
34,8708.83,1.13233,0.56615,0.90143,0.64052,0.38845,0.43466,0.24274,1.73421,1.29314,1.06266,0.0083665,0.0083665,0.0083665
35,8965.1,1.12523,0.56069,0.90079,0.63903,0.37365,0.42444,0.23309,1.71692,1.26935,1.04888,0.008317,0.008317,0.008317
36,9219.59,1.11906,0.55836,0.89864,0.65438,0.37324,0.43333,0.24954,1.7397,1.27606,1.06115,0.0082675,0.0082675,0.0082675
37,9474.98,1.11592,0.55618,0.89913,0.62675,0.39918,0.43953,0.24873,1.73443,1.25325,1.05589,0.008218,0.008218,0.008218
38,9730.57,1.11063,0.55316,0.89702,0.62625,0.39145,0.42627,0.24063,1.70405,1.30781,1.05389,0.0081685,0.0081685,0.0081685
39,9985.48,1.1138,0.55483,0.89714,0.64177,0.3735,0.43805,0.25307,1.70021,1.35321,1.03837,0.008119,0.008119,0.008119
40,10240.7,1.10528,0.55081,0.89574,0.58951,0.37201,0.41774,0.23503,1.72916,1.35257,1.05176,0.0080695,0.0080695,0.0080695
41,10494.4,1.1038,0.54816,0.89614,0.49447,0.39699,0.42453,0.2432,1.7944,1.3513,1.08952,0.00802,0.00802,0.00802
42,10749.3,1.09804,0.54411,0.89509,0.54247,0.36671,0.38995,0.22379,1.77125,1.40205,1.07821,0.0079705,0.0079705,0.0079705
43,11002.6,1.09706,0.54465,0.89291,0.51551,0.39471,0.40512,0.22965,1.76158,1.42044,1.05665,0.007921,0.007921,0.007921
44,11259.9,1.0939,0.54341,0.89309,0.55573,0.37184,0.41194,0.23452,1.74578,1.37372,1.05825,0.0078715,0.0078715,0.0078715
45,11513.7,1.08761,0.53922,0.89251,0.66928,0.34491,0.41139,0.23553,1.76348,1.28729,1.06194,0.007822,0.007822,0.007822
46,11766.7,1.08768,0.53921,0.89277,0.60861,0.36298,0.42402,0.23941,1.73085,1.32029,1.05576,0.0077725,0.0077725,0.0077725
47,12018.7,1.08483,0.53689,0.89363,0.6348,0.36243,0.42084,0.23888,1.77705,1.34606,1.06761,0.007723,0.007723,0.007723
48,12273.7,1.07935,0.53293,0.89024,0.61008,0.37936,0.42217,0.23944,1.75076,1.31559,1.07316,0.0076735,0.0076735,0.0076735
49,12526.8,1.07943,0.53193,0.89147,0.61138,0.37532,0.41847,0.23532,1.75494,1.35133,1.06756,0.007624,0.007624,0.007624
50,12780,1.0725,0.52846,0.88989,0.57735,0.37519,0.41836,0.24286,1.70755,1.33886,1.0454,0.0075745,0.0075745,0.0075745
51,13036.6,1.07222,0.52869,0.89065,0.62144,0.37555,0.42309,0.2323,1.78976,1.34352,1.07049,0.007525,0.007525,0.007525
52,13289.4,1.06855,0.52725,0.88791,0.58343,0.38476,0.43526,0.24091,1.74393,1.32409,1.05628,0.0074755,0.0074755,0.0074755
53,13540.3,1.0695,0.52815,0.88788,0.60935,0.38504,0.43624,0.24472,1.76575,1.29233,1.06816,0.007426,0.007426,0.007426
54,13793.9,1.06044,0.5229,0.88562,0.58084,0.38204,0.43045,0.2474,1.72732,1.32656,1.05174,0.0073765,0.0073765,0.0073765
55,14046.5,1.06369,0.52189,0.88748,0.53712,0.37106,0.41609,0.23807,1.73308,1.41816,1.05213,0.007327,0.007327,0.007327
56,14298.4,1.05414,0.51925,0.88679,0.59141,0.37342,0.42088,0.24382,1.7099,1.36771,1.0408,0.0072775,0.0072775,0.0072775
57,14551.8,1.06132,0.52069,0.88551,0.61304,0.36386,0.41663,0.2385,1.72096,1.30637,1.05716,0.007228,0.007228,0.007228
58,14802.4,1.05842,0.52078,0.8871,0.58716,0.35796,0.41268,0.23963,1.7239,1.36761,1.05894,0.0071785,0.0071785,0.0071785
59,15053.3,1.0489,0.5178,0.88533,0.61917,0.35635,0.42198,0.24466,1.73109,1.40662,1.0498,0.007129,0.007129,0.007129
