epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.786,1.70875,1.56567,1.09428,0.46756,0.30988,0.30312,0.17396,1.71104,1.36659,1.03246,0.00332326,0.00332326,0.00332326
2,228.905,1.49457,0.93256,0.99044,0.50062,0.34475,0.34622,0.19376,1.74383,1.36593,1.04024,0.00662365,0.00662365,0.00662365
3,343.928,1.48836,0.8948,0.98648,0.51203,0.34002,0.36248,0.19822,1.76725,1.48969,1.06168,0.00989103,0.00989103,0.00989103
4,462.939,1.48789,0.85913,0.98649,0.43344,0.34008,0.35516,0.19748,1.76784,1.60058,1.0668,0.0098515,0.0098515,0.0098515
5,585.161,1.43866,0.81155,0.97786,0.6104,0.33837,0.3751,0.20528,1.8095,1.44224,1.0896,0.009802,0.009802,0.009802
6,707.186,1.40578,0.78197,0.96641,0.52245,0.36316,0.39044,0.21448,1.78983,1.32696,1.05581,0.0097525,0.0097525,0.0097525
7,831.137,1.36977,0.74917,0.9593,0.4348,0.38704,0.37719,0.20446,1.75513,1.36398,1.05593,0.009703,0.009703,0.009703
8,955.986,1.33713,0.72335,0.95089,0.53798,0.37146,0.39679,0.22135,1.81168,1.41335,1.07242,0.0096535,0.0096535,0.0096535
9,1080.1,1.32463,0.71289,0.94677,0.61832,0.35271,0.38045,0.20614,1.7345,1.34321,1.04803,0.009604,0.009604,0.009604
10,1204.07,1.3028,0.69413,0.94289,0.56407,0.35135,0.39714,0.21623,1.73266,1.44353,1.05752,0.0095545,0.0095545,0.0095545
11,1328.73,1.28871,0.68557,0.94042,0.6473,0.34747,0.40155,0.21457,1.73804,1.35001,1.06527,0.009505,0.009505,0.009505
12,1452.9,1.27422,0.6743,0.93563,0.67873,0.36678,0.41692,0.22934,1.74481,1.39771,1.06256,0.0094555,0.0094555,0.0094555
13,1577.53,1.25847,0.66181,0.93072,0.51714,0.40303,0.39769,0.22285,1.77598,1.33624,1.06692,0.009406,0.009406,0.009406
14,1701.02,1.25453,0.65502,0.92915,0.5339,0.38554,0.39243,0.21208,1.76367,1.31222,1.06456,0.0093565,0.0093565,0.0093565
15,1827.7,1.24628,0.64778,0.92839,0.5233,0.36972,0.39631,0.22546,1.71805,1.37959,1.03763,0.009307,0.009307,0.009307
